   1.047    sin(i)=   0.866    cos(i)=   0.500    tan(i)=   1.732
   1.065    sin(i)=   0.875    cos(i)=   0.485    tan(i)=   1.804
   1.082    sin(i)=   0.883    cos(i)=   0.469    tan(i)=   1.881
   1.100    sin(i)=   0.891    cos(i)=   0.454    tan(i)=   1.963
   1.117    sin(i)=   0.899    cos(i)=   0.438    tan(i)=   2.050
   1.134    sin(i)=   0.906    cos(i)=   0.423    tan(i)=   2.145
   1.152    sin(i)=   0.914    cos(i)=   0.407    tan(i)=   2.246
   1.169    sin(i)=   0.921    cos(i)=   0.391    tan(i)=   2.356
   1.187    sin(i)=   0.927    cos(i)=   0.375    tan(i)=   2.475
   1.204    sin(i)=   0.934    cos(i)=   0.358    tan(i)=   2.605
   1.222    sin(i)=   0.940    cos(i)=   0.342    tan(i)=   2.747
   1.239    sin(i)=   0.946    cos(i)=   0.326    tan(i)=   2.904
   1.257    sin(i)=   0.951    cos(i)=   0.309    tan(i)=   3.078
   1.274    sin(i)=   0.956    cos(i)=   0.292    tan(i)=   3.271
   1.292    sin(i)=   0.961    cos(i)=   0.276    tan(i)=   3.487
   1.309    sin(i)=   0.966    cos(i)=   0.259    tan(i)=   3.732
   1.326    sin(i)=   0.970    cos(i)=   0.242    tan(i)=   4.011
   1.344    sin(i)=   0.974    cos(i)=   0.225    tan(i)=   4.331
   1.361    sin(i)=   0.978    cos(i)=   0.208    tan(i)=   4.705
   1.379    sin(i)=   0.982    cos(i)=   0.191    tan(i)=   5.145
   1.396    sin(i)=   0.985    cos(i)=   0.174    tan(i)=   5.671
   1.414    sin(i)=   0.988    cos(i)=   0.156    tan(i)=   6.314
   1.431    sin(i)=   0.990    cos(i)=   0.139    tan(i)=   7.115
   1.449    sin(i)=   0.993    cos(i)=   0.122    tan(i)=   8.144
   1.466    sin(i)=   0.995    cos(i)=   0.105    tan(i)=   9.514
   1.484    sin(i)=   0.996    cos(i)=   0.087    tan(i)=  11.430
   1.501    sin(i)=   0.998    cos(i)=   0.070    tan(i)=  14.301
   1.518    sin(i)=   0.999    cos(i)=   0.052    tan(i)=  19.081
   1.536    sin(i)=   0.999    cos(i)=   0.035    tan(i)=  28.636
   1.553    sin(i)=   1.000    cos(i)=   0.017    tan(i)=  57.290
   1.571    sin(i)=   1.000    cos(i)=  -0.000    tan(i)=********
   1.588    sin(i)=   1.000    cos(i)=  -0.017    tan(i)= -57.290
